timestamp,lat,long,altitude,jNO2,jO3,pressure,temperature,wind_speed,wind_direction,OA_AMS,NO3,H,Ethane,Ethene,Ethyne,x1Butene,CycPentane,x1Hexene,CycHexane,MeCycHexane,EthBenzene,nNonane,iPropBenzene,nDecane,CO2,CH4,CO,N2O,NH3,NO,NO2,O3,PAN,PPN,Propyne,CH3CN,CH3CHO,Acetone,DMS,Furan,Isoprene,MEK,Benzene,Toluene,Monoterpenes,HFC134a,HCFC141b,HCFC22,CH3Cl,CH2Cl2,CHCl3,CH2ClCH2Cl,CH3CCl3,C2Cl4,ClBenzene,CHBrCl2,CHBr2Cl,CH3Br,CH2Br2,CHBr3,CH2ClI,CH3I,CS2,Propane,iButane,nButane,iPentane,nPentane,x2MePentane,x3MePentane,nHexane,x224TrimePentane,nHeptane,nOctane,Tricyclene,aPinene,Camphene,mpXylene,oXylene,Styrene,CH2O,Propanal,Butanal,Acrolein,x2Butenals,CH3OH,C2H5OH,iPropanol,MBO,MAC,MVK,x2MeFuran,x3MeFuran,Furfural,HCN,PropNitrile,Acrylonitrile,MeAcrylonitrile,iPropONO2,nPropONO2,HNCO,HNO3,SO2,HCl,C6H6O,C9H14O4,C10H16O3,C6H10O5,H2O
2018-07-24 19:24:59,44.60927739,243.5777387,3.832382438,0.01206111143,5.004540286e-05,650.995636,280.8158884,11.6962859,240.8493537,7.360681436,0.236222,1.665665764,,,,,,,,,,,,,408.6178571,1876.828571,93.56785714,332.2857143,1.12175,,,46.43023214,,,,,,,,,,,,,,109.8,25.9,233.0,523.2,16.7,8.35,4.9,2.59,0.93,0.17,0.52,0.19,8.4,0.67,0.43,,0.37,,87.4,5.0,9.9,6.7,3.1,,,1.5,0.7,19.6,,0.64,,,1.58,0.68,,1370.0,9.3,21.4,6.5,,3331.0,223.1,22.2,2.18,12.1,38.9,,,,180.0,,,,1.97,,,600.2532143,,,,,,,8598.74075
2018-07-24 19:26:39,44.72944982,243.583999,3.830309797,0.01185141321,4.827264321e-05,651.046633,280.6061841,9.625043266,238.3546827,15.20152821,0.6844839942,1.568548893,,,,,,,,,,,,,408.5821429,1891.907143,145.5464286,332.1928571,1.152071429,,,56.24332143,,,0.02356365557,0.2069965196,0.6070837702,2.490296935,0.01411319483,0.01473498992,0.01765976463,0.08641168892,0.06233102637,0.03069747676,0.003454320348,114.8,26.3,242.0,543.5,18.3,8.74,5.7,2.58,1.15,0.2,,,14.1,0.72,0.47,,0.43,,186.9,8.2,19.9,8.7,4.9,,,2.5,0.6,7.3,2.4,0.78,,,2.0,1.11,0.12,1666.0,16.0,25.6,4.1,,3358.0,206.5,19.4,2.52,14.5,41.9,,1.1,,256.0,,,,4.13,,,621.1274436,,,,,,,9082.197821
2018-07-24 19:28:19,44.84831011,243.5899499,3.826723467,0.01179699964,4.596531429e-05,651.2131043,280.6709724,10.62670346,246.2099168,16.2754225,0.6332975,1.579875,,,,,,,,,,,,,408.7714286,1890.817857,146.15,332.2142857,1.093714286,,,54.71964286,,,0.03118460786,0.1830927752,0.5985353603,2.436946739,0.008061338922,0.0200340538,0.008087167473,0.09813806318,0.06718104474,0.03818387703,0.005934915901,112.9,27.3,237.0,543.7,18.9,8.33,5.9,2.45,0.97,0.19,,,12.5,0.91,0.39,,0.31,,172.5,6.7,19.7,8.6,5.2,,,1.3,0.6,9.5,4.3,0.66,,,2.27,1.01,,1753.0,15.2,24.2,14.7,,3434.0,199.8,18.4,2.82,16.8,48.3,,1.3,,272.0,,,3.1,3.39,,189.7714286,586.0304762,,,,,,,9071.240357
2018-07-24 19:29:59,44.9473325,243.532035,3.565637015,0.01133062893,4.333592214e-05,671.6285139,281.6703996,8.767943198,259.0464419,15.12341741,0.4245455566,1.557147941,,,,,,,,,,,,,407.7892857,1884.657143,150.9035714,332.0035714,1.047347826,,,44.17476786,,,0.05113790049,0.2169883091,0.7524685771,2.792942505,0.01313360751,0.03369626826,0.1259336732,0.08794802183,0.06783852459,0.05899526044,0.03065704755,111.8,25.5,234.0,515.2,18.9,8.98,5.4,2.84,1.02,0.26,,0.18,9.3,0.63,0.34,,0.32,,168.2,8.7,29.3,10.6,8.9,,,3.0,0.9,7.3,1.5,1.31,3.85,3.31,2.96,1.41,0.16,1857.0,19.6,22.3,9.4,,4539.0,334.2,25.9,17.73,28.9,71.8,,1.2,,303.0,,,,2.66,,,503.1617857,,,,,,,9710.360357
2018-07-24 19:31:39,45.0405525,243.4593907,3.695655831,0.01102503179,4.326805393e-05,661.534269,280.7885938,10.36917499,254.9570759,44.59008954,1.137010431,1.548675993,1.112,0.316,0.238,0.004,0.005,0.002,,0.006,0.003,0.0006,0.001,0.002,407.8785714,1901.982143,282.1357143,331.95,1.237541667,,,47.17292857,,,0.06344782206,0.3763875972,1.337398751,4.937987094,0.03363896175,0.04146712416,0.07564501783,0.20031762,0.2415631952,0.1120333171,0.01094345659,112.5,26.5,233.0,532.3,19.3,9.58,6.3,2.55,1.18,0.25,,0.27,9.2,0.82,0.46,,0.38,0.6,395.8,16.1,54.8,17.6,15.9,,,4.1,1.3,10.7,6.2,1.57,,,4.95,2.93,0.19,2340.0,24.3,31.9,26.3,,6748.0,409.2,45.9,8.17,23.2,52.9,,0.8,,480.0,,14.2,,4.48,,257.1012448,329.8966805,,,,,,,11807.37036
2018-07-24 19:33:19,45.13739943,243.3820861,3.699172738,0.011024295,4.464143143e-05,661.1136671,280.4942603,11.37595424,248.636863,15.99372444,0.481510107,1.681737594,,,,,,,,,,,,,408.8,1905.371429,259.0964286,331.9928571,1.310928571,,,46.74978571,,,0.05150138308,0.3355618074,1.292854207,4.554175118,0.03808964928,0.05256158333,0.04263283241,0.1767492798,0.1928217085,0.09559623129,0.009735682989,112.5,25.3,236.0,534.1,18.5,10.17,6.4,2.19,1.26,0.23,,0.31,10.9,0.86,0.45,,0.56,,346.3,16.6,52.1,15.8,16.9,,,4.6,1.5,15.7,5.3,1.54,,,4.61,2.74,,2630.0,24.9,27.3,25.0,,7159.0,459.9,40.3,11.01,46.9,114.5,,1.2,,454.0,,10.7,,6.28,,,,,,,,,,12894.55679
2018-07-24 19:34:59,45.23815154,243.3013276,3.696114328,0.0112827675,4.699005964e-05,661.1643939,280.638959,9.353089016,243.8725544,,,,,,,,,,,,,,,,406.7178571,1880.135714,99.55714286,332.0642857,0.7035357143,,,43.620875,,,0.03448122573,0.1346212904,0.561668428,2.376949308,0.009229810385,0.03304145487,0.08328026234,0.06695018911,0.02329860894,0.0261475766,0.03608133036,108.5,26.6,232.0,516.9,17.4,8.65,5.8,2.71,0.95,,,0.23,9.5,0.73,0.38,,0.33,,120.5,5.2,15.4,6.9,4.0,,,1.8,0.6,5.2,3.5,1.71,9.15,6.36,1.77,1.05,,1518.0,,17.8,3.9,,4086.0,364.9,23.6,20.87,45.5,114.8,,0.7,,200.0,,,,3.52,,,395.0871429,,,,,,,8877.939607
2018-07-24 19:36:39,45.20240575,243.2513428,3.984079651,0.01137663429,4.757894393e-05,638.0651942,278.297209,15.17416967,245.6882006,11.44613481,0.3434504454,1.633127806,,,,,,,,,,,,,408.6964286,1880.414286,113.0892857,332.2214286,0.7083214286,,,46.86026786,,,0.01622773938,0.1542659089,0.4334534535,2.149981119,0.002917959123,0.0168842729,0.01084580492,0.07000053692,0.04140882528,0.03120322168,0.007237275447,110.8,27.8,234.0,533.6,16.8,8.63,4.8,2.46,0.93,,,,9.7,0.82,0.43,,0.29,,104.4,5.6,14.5,5.6,4.2,,,2.4,,5.6,1.2,0.58,1.15,0.82,1.92,0.91,,1444.0,12.2,19.4,2.1,,3089.0,222.1,18.1,4.5,30.1,84.6,,1.5,,211.0,,,,3.08,,,,,,,,,,8369.60825
2018-07-24 19:38:19,45.10792293,243.3527259,3.989704764,0.01146323536,4.701467464e-05,638.2696969,277.9257577,13.71662008,252.1388661,,,,,,,,,,,,,,,,408.8071429,1903.485714,224.8642857,332.0928571,0.9786071429,,,48.31003571,,,0.04513323995,0.2907769593,1.083827679,4.142339479,0.01757396197,0.03996567225,0.03184024834,0.1685012629,0.1610104468,0.07728451091,0.007549275108,114.5,,243.0,539.2,18.9,10.04,5.8,3.06,1.0,0.18,,0.29,11.9,0.89,0.47,,0.43,0.6,269.3,15.8,45.4,17.9,13.3,2.7,,5.9,1.3,13.3,6.7,1.47,,,3.73,2.49,0.16,2296.0,19.9,27.9,10.8,,6628.0,439.3,34.8,9.91,38.3,103.9,,1.0,,394.0,,8.6,,2.41,,,,,,,,,,12082.33036
2018-07-24 19:39:59,45.01476689,243.4512791,3.987300223,0.01130981071,4.508592643e-05,638.2585274,278.286234,13.34113255,256.3309243,23.86018396,0.9377156503,1.615252133,,,,,,,,,,,,,408.8035714,1893.014286,154.6571429,332.1178571,0.94825,,,49.64164286,,,0.02799355411,0.2055274637,0.7197127163,3.13382644,0.009114141608,0.02662856037,0.01323219446,0.1126387356,0.08016197524,0.04927169927,0.00422784685,117.2,,239.0,539.1,17.8,8.41,5.9,2.43,1.11,,,,12.2,0.8,0.41,,0.45,,164.1,8.4,22.4,10.4,5.5,1.9,,2.7,0.8,12.3,3.0,0.8,,,1.85,0.89,,1810.0,,21.7,,,4437.0,294.3,25.0,1.59,28.5,83.4,,1.3,,253.0,,,,3.34,,,245.6839286,,,,,,,10672.42714
