Key,Sensitivity,Factor,Case
CO - far_field,5.4465536337293585,CO,far_field
CO - far_field,6.184834065283644,CO,far_field
CO - far_field,5.148665115677281,CO,far_field
CO - far_field,6.996175630026381,CO,far_field
CO - far_field,5.090825572385355,CO,far_field
CO - far_field,6.0421102274448035,CO,far_field
CO - far_field,5.4752185044821875,CO,far_field
CO - far_field,5.115962292358652,CO,far_field
CO - far_field,8.116231003668565,CO,far_field
CO - far_field,7.60154495357088,CO,far_field
CO - far_field,6.624891388416577,CO,far_field
CO - far_field,6.697310530606832,CO,far_field
CO - far_field,6.0507382930755105,CO,far_field
CO - far_field,4.8104881879397965,CO,far_field
CO - far_field,6.31792443128403,CO,far_field
CO - far_field,6.865054380406231,CO,far_field
CO - far_field,5.322386220987531,CO,far_field
CO - far_field,6.262610791159911,CO,far_field
CO - far_field,5.447180141305999,CO,far_field
CO - far_field,5.420346890288826,CO,far_field
CO - far_field,5.054977669177039,CO,far_field
CO - far_field,6.640630412444293,CO,far_field
CO - far_field,12.178745307934454,CO,far_field
CO - far_field,5.678576176082156,CO,far_field
CO - far_field,6.184834065283644,CO,far_field
CO - far_field,4.912995955578355,CO,far_field
CO - far_field,7.717034481870932,CO,far_field
CO - far_field,27.685822408954063,CO,far_field
CO - far_field,5.754840194722664,CO,far_field
CO - far_field,7.717034481870932,CO,far_field
CO - far_field,6.160631557684577,CO,far_field
CO - far_field,4.920519690453775,CO,far_field
CO - far_field,10.574545988310447,CO,far_field
CO - far_field,16.524931639640787,CO,far_field
CO - far_field,6.226724894019278,CO,far_field
CO - far_field,6.040570961228538,CO,far_field
CO - far_field,5.243564344176744,CO,far_field
CO - far_field,5.332516514701279,CO,far_field
CO - far_field,4.856965653551393,CO,far_field
CO - far_field,5.747505135151798,CO,far_field
CO - far_field,7.306924235306467,CO,far_field
CO - far_field,14.663760924236739,CO,far_field
CO - far_field,6.858609887301192,CO,far_field
CO - far_field,8.308184529467335,CO,far_field
CO - far_field,4.8712550588851125,CO,far_field
CO - far_field,6.74091291748378,CO,far_field
CO - far_field,5.187349282150953,CO,far_field
CO - far_field,8.221774155648244,CO,far_field
CO - far_field,6.31792443128403,CO,far_field
CO - far_field,7.781751862684458,CO,far_field
CO - far_field,4.865258735020981,CO,far_field
CO - far_field,7.669471337409385,CO,far_field
CO - far_field,6.339622650204622,CO,far_field
CO - far_field,6.029679036971846,CO,far_field
CO - far_field,6.277355136036034,CO,far_field
CO - far_field,14.575567812931176,CO,far_field
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
CO - toe,194.18523420206515,CO,toe
VOCCO - near_field,14.125438747865587,VOCCO,near_field
VOCCO - near_field,13.539908687692815,VOCCO,near_field
VOCCO - near_field,13.237993518579922,VOCCO,near_field
VOCCO - near_field,13.275696985525409,VOCCO,near_field
VOCCO - near_field,13.480410982775794,VOCCO,near_field
VOCCO - near_field,14.684898751391804,VOCCO,near_field
VOCCO - near_field,13.280130774913255,VOCCO,near_field
VOCCO - near_field,13.95461442760487,VOCCO,near_field
VOCCO - near_field,13.47561814526293,VOCCO,near_field
VOCCO - near_field,12.728874663644518,VOCCO,near_field
VOCCO - near_field,14.08745285886844,VOCCO,near_field
VOCCO - near_field,12.313022137679303,VOCCO,near_field
VOCCO - near_field,14.360961346220721,VOCCO,near_field
VOCCO - near_field,13.332415456525796,VOCCO,near_field
VOCCO - near_field,14.314337175402176,VOCCO,near_field
VOCCO - near_field,13.644027735662611,VOCCO,near_field
VOCCO - near_field,13.72938018948174,VOCCO,near_field
VOCCO - near_field,13.115879870973997,VOCCO,near_field
VOCCO - near_field,13.897403098859161,VOCCO,near_field
VOCCO - near_field,12.875737863224552,VOCCO,near_field
VOCCO - near_field,14.155942832188545,VOCCO,near_field
VOCCO - near_field,13.036467723661588,VOCCO,near_field
VOCCO - near_field,13.967729011580227,VOCCO,near_field
VOCCO - near_field,12.576203140141608,VOCCO,near_field
VOCCO - near_field,11.419112675082458,VOCCO,near_field
VOCCO - near_field,13.531331910131973,VOCCO,near_field
VOCCO - near_field,14.702631472117773,VOCCO,near_field
VOCCO - near_field,13.273864741008412,VOCCO,near_field
VOCCO - near_field,13.488135286404162,VOCCO,near_field
VOCCO - near_field,13.439487708056564,VOCCO,near_field
VOCCO - near_field,13.684546120691065,VOCCO,near_field
VOCCO - near_field,14.129921587709035,VOCCO,near_field
VOCCO - near_field,13.13398059186699,VOCCO,near_field
VOCCO - near_field,13.219987988594085,VOCCO,near_field
VOCCO - near_field,12.928125362493835,VOCCO,near_field
VOCCO - near_field,14.326481910450713,VOCCO,near_field
VOCCO - near_field,14.547183255001391,VOCCO,near_field
VOCCO - near_field,14.21508988457148,VOCCO,near_field
VOCCO - near_field,13.739897320765417,VOCCO,near_field
VOCCO - near_field,13.960499459983875,VOCCO,near_field
VOCCO - near_field,13.230836271966947,VOCCO,near_field
VOCCO - near_field,13.12554593062533,VOCCO,near_field
