CoreName,Definition,Chemical Formula,CAS Number,Specificity,Category
MPAN,Peroxymethacryloyl nitrate,C4H5NO5,N/A,S,Nitrogen Species
PNs,Sum of Peroxynitrates,N/A,N/A,M,Nitrogen Species
ANs,Sum of Akylnitrates,N/A,N/A,M,Nitrogen Species
NOx,Nitrogen oxides (NO + NO2),N/A,N/A,M,Nitrogen Species
NOy,Total Reactive Nitrogen,N/A,N/A,M,Nitrogen Species
NOyasNO2,Total Reactive Nitrogen Converted to NO2,N/A,N/A,M,Nitrogen Species
NOyasNO,Total Reactive Nitrogen Converted to NO,N/A,N/A,M,Nitrogen Species
x2HydEthONO2,2-Hydroxyethyl nitrate,C2H5NO4,16051-48-2,S,Nitrogen Species
C3H7NO4,Sum of C3H7NO4 Hydroxy nitrates,C3H7NO4,N/A,M,Nitrogen Species
C3H5NO4,Sum of C3H5NO4 Carbonyl nitrates,C3H5NO4,N/A,M,Nitrogen Species
C4H7NO4,Sum of C4H7NO4 Isomers,C4H7NO4,N/A,M,Nitrogen Species
C4H7NO5,"Sum of Isomers, including C4 Hydroxy Carbonyl Nitrates",C4H7NO5,N/A,M,Nitrogen Species
C4H9NO4,Sum of C4H9NO4 Hydroxy nitrates,C4H9NO4,N/A,M,Nitrogen Species
ISOPN,Sum of Isoprene Hydroxy Nitrate Isomers,C5H9NO4,N/A,M,Nitrogen Species
C5H9NO5,"Sum of C5H9NO5 Isomers, including Hydroperoxy Nitrates of Isoprene",C5H9NO5,N/A,M,Nitrogen Species
NitroCatechol,"Nitrocatechol, aka 4- nitrocatechol",C6H5NO4,3316-09-04,S,Nitrogen Species
NitroGuaiacol,"Nitroguaiacol, including 4- Nitroguaiacol and 5- Nitroguaiacol",C7H7NO4,N/A,M,Nitrogen Species
x4NitroGuaiacol,4-Nitroguaiacol,C7H7NO4,3251-56-7,S,Nitrogen Species
x5NitroGuaiacol,5-Nitroguaiacol,C7H7NO4,636-93-1,S,Nitrogen Species
C10H30O5Si5,Decamethylcyclopentasiloxane,C10H30O5Si5,541-02-6,S,Silicon Species
CS2,Carbon disulfide,CS2,75-15-0,S,Sulfur Species
CH3SH,Methanethiol,CH4S,74-93-1,S,Sulfur Species
DMS,Dimethyl sulfide,C2H6S,75-18-3,S,Sulfur Species
DMDS,Dimethyl disulfide,C2H6S2,624-92-0,S,Sulfur Species
DMSO,Dimethyl sulfoxide,C2H6OS,67-68-5,S,Sulfur Species
DMSO2,Dimethyl sulfone,C2H6O2S,67-71-0,S,Sulfur Species
H2SO4,Sulfuric acid,H2SO4,7664-93-9,S,Sulfur Species
MSA,Methanesulfonic acid,CH4O3S,75-75-2,S,Sulfur Species
OCS,Carbonyl sulfide,OCS,463-58-1,S,Sulfur Species
SF6,Sulfur hexafluoride,SF6,2551-62-4,S,Sulfur Species
C2H4O3S,Sum of C2H4O3S isomers,C2H4O3S,N/A,M,Sulfur Species
SO2F2,Sulfuryl fluoride,SO2F2,2699-79-8,S,Sulfur Species
SO2,Sulfur dioxide,SO2,7446-09-05,S,Sulfur Species
HPMTF,Hydroperoxymethyl thioformate,C2H3O3S,N/A,S,Sulfur Species
Cl,Chlorine atom,Cl,22537-15-1,S,Halogens and Halogenates
HCl,Hydrogen chloride,HCl,7647-01-0,S,Halogens and Halogenates
Cl2,Chlorine,Cl2,7782-50-5,S,Halogens and Halogenates
ClO,Chlorine monoxide,ClO,14989-30-1,S,Halogens and Halogenates
HOCl,Hypochlorous acid,HOCl,7790-92-3,S,Halogens and Halogenates
Br,Bromine atom,Br,10097-32-2,S,Halogens and Halogenates
HBr,Hydrogen bromide,HBr,10035-10-6,S,Halogens and Halogenates
Br2,Bromine,Br2,7726-95-6,S,Halogens and Halogenates
BrCl,Bromine chloride,BrCl,13863-41-7,S,Halogens and Halogenates
BrO,Bromine monoxide,BrO,15656-19-6,S,Halogens and Halogenates
BrONO,Bromine nitrite,BrNO2,N/A,S,Halogens and Halogenates
BrONO2,Bromine nitrate,BrNO3,40423-14-1,S,Halogens and Halogenates
BrNO2,Bromine nitrite,BrNO2,N/A,S,Halogens and Halogenates
HOBr,Hypobromous acid,HOBr,13517-11-8,S,Halogens and Halogenates
Br2AndHOBr,Sum of HOBr and Br2,N/A,N/A,M,Halogens and Halogenates
Br2O,Dibromine monoxide,Br2O,21308-80-5,S,Halogens and Halogenates
BrCN,Cyanogen Bromide,BrCN,506-68-3,S,Halogens and Halogenates
I,Iodine atom,I,14362-44-8,S,Halogens and Halogenates
I2,Iodine,I2,7553-56-2,S,Halogens and Halogenates
IO,Iodine monoxide,IO,14696-98-1,S,Halogens and Halogenates
HOI,Hypoiodous acid,HIO,14332-21-9,S,Halogens and Halogenates
CH3COOCl,Chloroacetic acid,C2H3ClO2,79-11-8,S,Halogens and Halogenates
CH3Cl,Chloromethane,CH3Cl,74-87-3,S,Halogens and Halogenates
CH2Cl2,Dichloromethane,CH2Cl2,75-09-2,S,Halogens and Halogenates
CHCl3,Chloroform,CHCl3,67-66-3,S,Halogens and Halogenates
CCl4,Tetrachloromethane,CCl4,56-23-5,S,Halogens and Halogenates
